"","Program.Code","From.Grade","To.Grade","Group.State","Is.Non.Annual.","Days","Travel.Type","Departure.Date","Return.Date","Deposit.Date","Special.Pay","Tuition","FRP.Active","FRP.Cancelled","FRP.Take.up.percent.","Early.RPL","Latest.RPL","Cancelled.Pax","Total.Discount.Pax","Initial.System.Date","Poverty.Code","Region","CRM.Segment","School.Type","Parent.Meeting.Flag","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","Income.Level","EZ.Pay.Take.Up.Rate","School.Sponsor","SPR.Product.Type","SPR.New.Existing","FPP","Total.Pax","SPR.Group.Revenue","NumberOfMeetingswithParents","FirstMeeting","LastMeeting","DifferenceTraveltoFirstMeeting","DifferenceTraveltoLastMeeting","SchoolGradeTypeLow","SchoolGradeTypeHigh","SchoolGradeType","DepartureMonth","GroupGradeTypeLow","GroupGradeTypeHigh","GroupGradeType","MajorProgramCode","SingleGradeTripFlag","FPP.to.School.enrollment","FPP.to.PAX","Num.of.Non_FPP.PAX","SchoolSizeIndicator","Retained.in.2012.","From.Grade_surrogate","To.Grade_surrogate","Special.Pay_surrogate","Early.RPL_surrogate","Latest.RPL_surrogate","Initial.System.Date_surrogate","CRM.Segment_surrogate","MDR.High.Grade_surrogate","Total.School.Enrollment_surrogate","FirstMeeting_surrogate","LastMeeting_surrogate","DifferenceTraveltoFirstMeeting_surrogate","DifferenceTraveltoLastMeeting_surrogate","FPP.to.School.enrollment_surrogate"
"52","HD","8","8","WI","0","4","A",2011-02-23,2011-02-26,2010-10-05,"FIXED_NA",1138,70,7,0.636,2010-04-20,2010-08-19,10,13,2010-03-09,"A","Other","4","PUBLIC","1","3","6",240,"M",0.355,"0","East Coast","EXISTING",110,123,1138,"1",2010-09-28,2010-09-28,148,148,"Middle","Middle","Middle->Middle","February","Elementary","Middle","Elementary->Middle","H","1",0.458333333,0.894308943,13,"S","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"53","HD","8","8","FL","0","4","A",2011-02-23,2011-02-26,2010-11-01,"FIXED_NA",1310,43,0,0.573,2010-02-11,2010-08-04,0,7,2010-02-10,"","Other","5","Private non-Christian","0","PK","12",850,"L",0.147,"0","East Coast","EXISTING",75,82,1310,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","February","PK","High","PK->High","H","1",0.088235294,0.914634146,7,"L","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
"54","HD","8","8","TX","0","4","A",2011-02-24,2011-02-27,2010-10-08,"FIXED_NA",1550,44,6,0.898,2010-04-01,2010-08-11,7,2,2010-03-20,"C","Houston","10","PUBLIC","1","7","8",880,"E",0.388,"0","East Coast","EXISTING",49,51,1550,"1",2010-09-15,2010-09-15,162,162,"Middle","Middle","Middle->Middle","February","Middle","Middle","Middle->Middle","H","1",0.055681818,0.960784314,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"55","HD","8","8","IL","0","4","A",2011-02-24,2011-02-27,2010-10-01,"FIXED_NA",1149,20,2,0.87,2010-03-26,2010-08-26,3,4,2010-03-26,"","Other","5","Catholic","1","PK","8",650,"Q",0.217,"0","East Coast","NEW",23,27,1149,"2",2010-04-13,2010-09-23,317,154,"Middle","Middle","Middle->Middle","February","PK","Middle","PK->Middle","H","1",0.035384615,0.851851852,4,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"56","SG","7","FIXED_NA","MO","0","3","A",2011-02-26,2011-02-28,2010-11-15,"FIXED_NA",1188,11,6,0.846,1900-01-01,2010-09-23,6,1,2010-09-23,"A","Other","6","PUBLIC","1","6","7",565,"O",0,"0","Science","NEW",13,14,1188,"1",2010-10-14,2010-10-14,135,135,"Middle","Undefined","Middle->Undefined","February","Middle","Middle","Middle->Middle","S","0",0.02300885,0.928571429,1,"S-M","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"57","CD","11","12","AZ","0","6","A",2011-02-26,2011-03-04,2010-10-01,"FIXED_NA",2154,4,2,0.5,2010-02-18,2010-08-30,2,1,2010-02-18,"","Other","5","CHD","1","PK","12",1325,"K",0.25,"1","East Coast","EXISTING",8,9,2154,"1",2010-08-26,2010-08-26,184,184,"High","High","High->High","February","PK","High","PK->High","C","0",0.006037736,0.888888889,1,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"58","CD","8","8","ID","0","5","A",2011-02-28,2011-03-04,2010-10-01,"FR",1684,11,2,0.579,2010-03-18,2010-09-01,2,1,2010-03-17,"","Other","5","CHD","1","PK","8",412,"H",0.368,"1","East Coast","EXISTING",19,20,1684,"1",2010-08-23,2010-08-23,189,189,"Middle","Middle","Middle->Middle","February","PK","Middle","PK->Middle","C","1",0.046116505,0.95,1,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","HD","8","8","TN","0","4","A",2011-03-01,2011-03-04,2010-11-12,"FR",1163,46,3,0.697,2010-02-15,2010-08-12,3,7,2010-02-16,"","Other","10","CHD","1","PK","12",750,"K",0.136,"0","East Coast","EXISTING",66,73,1163,"1",2010-08-17,2010-08-17,196,196,"Middle","Middle","Middle->Middle","March","PK","High","PK->High","H","1",0.088,0.904109589,7,"M-L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","HD","9","9","WI","0","5","A",2011-03-01,2011-03-05,2010-10-28,"CP",1321,37,4,0.638,2010-03-29,2010-09-03,7,4,2010-03-23,"B","Other","10","PUBLIC","1","7","9",824,"G",0.31,"0","East Coast","EXISTING",58,62,1321,"1",2010-09-08,2010-09-08,174,174,"High","High","High->High","March","Middle","High","Middle->High","H","1",0.07038835,0.935483871,4,"L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","HG","4","4","CA","1","3","A",2011-03-02,2011-03-04,2010-10-15,"SA",808,0,0,0,1900-01-01,2010-09-24,1,1,2010-01-16,"","Southern California","4","Private non-Christian","0","PK","6",230,"O",0,"1","CA History","EXISTING",45,46,808,"0",1900-01-01,1900-01-01,0,0,"Elementary","Elementary","Elementary->Elementary","March","PK","Middle","PK->Middle","H","1",0.195652174,0.97826087,1,"S","0","0","0","0","1","0","0","0","0","0","1","1","1","1","0"
"62","HD","8","8","KS","0","3","A",2011-03-02,2011-03-05,2010-10-15,"FIXED_NA",1460,38,1,0.576,2010-04-14,2010-08-26,2,4,2010-04-14,"","Other","5","Private non-Christian","1","PK","12",1023,"Z",0.167,"0","East Coast","EXISTING",66,70,1460,"1",2010-09-20,2010-09-20,163,163,"Middle","Middle","Middle->Middle","March","PK","High","PK->High","H","1",0.064516129,0.942857143,4,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"63","HC","9","12","AL","0","4","A",2011-03-03,2011-03-06,2011-01-22,"CP",1589,2,3,0.167,1900-01-01,2010-09-23,4,1,2010-09-22,"C","Other","8","PUBLIC","1","9","12",1688,"G",0,"0","East Coast","NEW",12,13,1589,"1",2010-10-07,2010-10-07,147,147,"High","High","High->High","March","High","High","High->High","H","0",0.007109005,0.923076923,1,"L","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"64","HD","7","8","MN","1","4","A",2011-03-03,2011-03-06,2010-10-29,"FIXED_NA",1477,12,1,0.571,2010-01-22,2010-01-22,2,1,2010-01-14,"","Other","10","Catholic","1","PK","8",200,"N",0.143,"0","East Coast","EXISTING",21,22,1477,"1",2010-02-04,2010-02-04,392,392,"Middle","Middle","Middle->Middle","March","PK","Middle","PK->Middle","H","0",0.105,0.954545455,1,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"65","HD","8","8","Other.Group.State","0","3","B",2011-03-03,2011-03-07,2010-10-22,"FIXED_NA",851,50,1,0.746,1900-01-01,2010-08-24,1,4,2010-05-21,"","Other","10","Private non-Christian","1","PK","12",1555,"Z",0.149,"0","East Coast","EXISTING",67,71,851,"1",2010-09-03,2010-09-03,181,181,"Middle","Middle","Middle->Middle","March","PK","High","PK->High","H","1",0.043086817,0.943661972,4,"L","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"66","HC","5","6","AL","1","5","A",2011-03-03,2011-03-07,2010-11-06,"FIXED_NA",1813,36,8,0.72,2010-05-07,2010-05-07,8,3,2009-08-31,"C","Other","4","PUBLIC","1","PK","5",400,"C",0.28,"0","East Coast","EXISTING",50,53,1813,"2",2010-08-19,2010-11-02,196,121,"Elementary","Middle","Elementary->Middle","March","PK","Elementary","PK->Elementary","H","0",0.125,0.943396226,3,"S-M","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"67","Other.Program.Code","4","4","CA","0","1","B",2011-03-04,2011-03-04,2010-10-15,"SA",149,0,0,0,2010-05-19,2010-05-19,1,1,2010-03-31,"","Southern California","4","Private non-Christian","0","K","6",280,"Q",0,"1","CA History","EXISTING",25,26,149,"0",1900-01-01,1900-01-01,0,0,"Elementary","Elementary","Elementary->Elementary","March","K","Middle","K->Middle","H","1",0.089285714,0.961538462,1,"S","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"68","HD","8","8","NY","0","3","A",2011-03-04,2011-03-06,2010-11-01,"FR",987,94,10,0.686,2010-03-15,2010-08-12,10,13,2010-02-27,"A","Other","5","PUBLIC","1","6","8",1232,"O",0.219,"0","East Coast","EXISTING",137,150,987,"1",2011-01-31,2011-01-31,32,32,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.111201299,0.913333333,13,"L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","HD","7","7","IL","0","3","A",2011-03-04,2011-03-07,2010-10-05,"FIXED_NA",1040,65,6,0.707,2010-02-25,2010-08-20,5,10,2010-02-25,"B","Other","10","PUBLIC","1","7","8",478,"L",0.196,"0","East Coast","EXISTING",92,102,1040,"1",2010-09-23,2010-09-23,162,162,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.192468619,0.901960784,10,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"70","HD","8","8","KY","0","5","B",2011-03-04,2011-03-09,2010-09-30,"FIXED_NA",899,34,5,0.642,2010-04-26,2010-08-19,8,4,2010-04-27,"C","Other","2","PUBLIC","1","6","8",669,"E",0.17,"0","East Coast","EXISTING",53,57,899,"2",2010-05-11,2010-09-07,297,178,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.07922272,0.929824561,4,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"71","SG","8","8","OR","0","8","A",2011-03-04,2011-03-11,2010-10-01,"FIXED_NA",2048,16,6,0.246,2010-03-01,2010-08-20,7,8,2010-02-19,"B","Pacific Northwest","7","PUBLIC","1","6","8",495,"J",0.154,"0","Science","EXISTING",65,73,2048,"1",2010-09-19,2010-09-19,166,166,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","S","1",0.131313131,0.890410959,8,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"72","HD","FIXED_NA","FIXED_NA","IL","0","3","A",2011-03-05,2011-03-07,2010-10-09,"FIXED_NA",1066,88,3,0.765,2010-04-20,2010-08-23,4,11,2010-01-28,"A","Other","5","PUBLIC","1","6","8",586,"Q",0.226,"0","East Coast","EXISTING",115,126,1066,"1",2010-09-01,2010-09-01,185,185,"Undefined","Undefined","Undefined->Undefined","March","Middle","Middle","Middle->Middle","H","0",0.196245734,0.912698413,11,"M-L","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"73","HD","FIXED_NA","FIXED_NA","LA","0","4","A",2011-03-05,2011-03-08,2010-10-01,"FIXED_NA",1400,17,5,0.739,2010-02-25,2010-08-16,5,2,2010-02-23,"","Other","5","Catholic","1","PK","7",900,"L",0.044,"0","East Coast","EXISTING",23,25,1400,"1",2010-08-31,2010-08-31,186,186,"Undefined","Undefined","Undefined->Undefined","March","PK","Middle","PK->Middle","H","0",0.025555556,0.92,2,"L","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"74","HD","8","8","NE","0","4","A",2011-03-05,2011-03-09,2010-11-01,"FIXED_NA",1319,16,3,0.485,2010-03-25,2010-03-25,9,5,2010-03-26,"B","Other","10","PUBLIC","1","6","8",835,"I",0.152,"0","East Coast","NEW",33,38,1319,"2",2010-05-19,2010-09-08,290,178,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.039520958,0.868421053,5,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"75","HC","8","8","TX","0","5","A",2011-03-06,2011-03-10,2010-11-01,"FIXED_NA",1924,20,11,0.741,2010-02-11,2010-08-23,14,3,2010-02-10,"C","Dallas","10","PUBLIC","1","6","8",996,"K",0.185,"0","East Coast","EXISTING",27,30,1924,"1",2010-09-14,2010-09-14,173,173,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.027108434,0.9,3,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"76","HD","8","8","MA","0","5","B",2011-03-06,2011-03-10,2010-10-22,"FIXED_NA",849,46,18,0.455,2010-04-12,2010-09-20,21,8,2010-04-08,"B","Other","8","PUBLIC","1","9","12",497,"N",0.168,"0","East Coast","NEW",101,109,849,"1",2010-10-07,2010-10-07,150,150,"Middle","Middle","Middle->Middle","March","High","High","High->High","H","1",0.203219316,0.926605505,8,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"77","HD","8","8","Other.Group.State","0","5","B",2011-03-06,2011-03-11,2010-11-01,"SA",1268,1,0,0.031,2010-03-23,2010-09-02,0,3,2010-03-19,"","Other","10","CHD","1","PK","12",310,"B",0,"0","East Coast","EXISTING",32,35,1268,"1",2010-09-30,2010-09-30,157,157,"Middle","Middle","Middle->Middle","March","PK","High","PK->High","H","1",0.103225806,0.914285714,3,"S","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","CD","6","6","FL","0","6","A",2011-03-06,2011-03-11,2010-10-15,"FR",1393,11,4,0.611,2010-05-07,2010-08-25,4,2,2010-05-08,"","Other","10","CHD","1","PK","12",550,"Z",0.111,"0","East Coast","EXISTING",18,20,1393,"2",2010-05-27,2010-08-30,283,188,"Middle","Middle","Middle->Middle","March","PK","High","PK->High","C","1",0.032727273,0.9,2,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","HC","8","8","CA","0","7","A",2011-03-06,2011-03-12,2010-11-12,"FR",2571,16,4,0.246,2010-03-09,2010-08-12,6,4,2010-02-27,"A","Southern California","10","PUBLIC","1","K","8",610,"O",0.092,"0","East Coast","EXISTING",65,69,2571,"1",2010-10-20,2010-10-20,137,137,"Middle","Middle","Middle->Middle","March","K","Middle","K->Middle","H","1",0.106557377,0.942028986,4,"M-L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","CC","8","8","CA","0","7","A",2011-03-06,2011-03-12,2010-10-01,"CP",2389,38,1,0.623,2010-02-18,2010-08-11,1,5,2010-02-18,"","Northern California","5","CHD","1","PK","8",864,"Q",0.312,"1","East Coast","EXISTING",61,66,2389,"1",2010-09-02,2010-09-02,185,185,"Middle","Middle","Middle->Middle","March","PK","Middle","PK->Middle","C","1",0.070601852,0.924242424,5,"L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","CD","8","8","CA","0","7","A",2011-03-06,2011-03-12,2010-10-01,"FIXED_NA",2049,33,8,0.471,2010-03-23,2010-08-17,5,6,2010-03-17,"","Southern California","5","PUBLIC","1","7","12",0,"O",0.243,"1","East Coast","EXISTING",70,76,2049,"1",2010-08-30,2010-08-30,188,188,"Middle","Middle","Middle->Middle","March","Middle","High","Middle->High","C","1",0,0.921052632,6,"","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"82","CD","7","8","TN","1","4","A",2011-03-07,2011-03-10,2010-09-30,"FR",1324,41,1,0.774,2010-05-10,2010-08-05,3,5,2010-03-17,"","Other","10","CHD","1","PK","8",365,"M",0.245,"0","East Coast","EXISTING",53,58,1324,"1",2010-08-17,2010-08-17,202,202,"Middle","Middle","Middle->Middle","March","PK","Middle","PK->Middle","C","0",0.145205479,0.913793103,5,"S-M","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","HD","8","8","CA","0","5","A",2011-03-07,2011-03-11,2010-11-01,"FIXED_NA",1984,3,1,0.231,2010-03-26,2010-09-10,3,1,2010-03-26,"B","Northern California","5","PUBLIC","1","7","8",511,"O",0.154,"0","East Coast","EXISTING",13,14,1984,"1",2010-09-21,2010-09-21,167,167,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.025440313,0.928571429,1,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"84","HD","8","8","CA","0","5","A",2011-03-07,2011-03-11,2010-11-01,"FIXED_NA",2267,26,0,0.743,2010-04-21,2010-08-12,0,4,2010-04-09,"","Northern California","5","Private non-Christian","1","6","12",372,"Q",0.171,"0","East Coast","EXISTING",35,39,2267,"1",2010-09-30,2010-09-30,158,158,"Middle","Middle","Middle->Middle","March","Middle","High","Middle->High","H","1",0.094086022,0.897435897,4,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"85","HD","7","8","TX","0","5","A",2011-03-07,2011-03-11,2010-11-01,"FIXED_NA",1742,28,11,0.966,2010-01-25,2010-08-20,10,2,2010-01-22,"B","Houston","10","PUBLIC","1","6","8",375,"M",0.172,"0","East Coast","EXISTING",29,31,1742,"1",2010-09-13,2010-09-13,175,175,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","0",0.077333333,0.935483871,2,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"86","HD","7","8","AZ","0","5","A",2011-03-07,2011-03-11,2010-10-15,"FIXED_NA",1699,17,2,0.85,2010-03-12,2010-03-12,3,2,2010-03-12,"","Other","7","PUBLIC","1","","FIXED_NA",0,"",0.1,"0","East Coast","NEW",20,22,1699,"2",2010-08-31,2010-10-21,188,137,"Middle","Middle","Middle->Middle","March","Undefined","Undefined","Undefined->Undefined","H","0",0,0.909090909,2,"","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1"
"87","HC","8","8","MI","0","6","B",2011-03-07,2011-03-12,2010-10-15,"FIXED_NA",1099,50,4,0.676,2010-03-11,2010-08-25,6,7,2010-03-02,"B","Other","10","PUBLIC","1","6","8",682,"J",0.284,"0","East Coast","EXISTING",74,81,1099,"1",2010-09-07,2010-09-07,181,181,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.108504399,0.913580247,7,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"88","HD","9","9","Other.Group.State","0","6","A",2011-03-07,2011-03-12,2010-06-01,"SA",2296,0,0,0,2010-04-01,2010-04-01,14,2,2010-02-25,"","Other","7","CHD","0","","FIXED_NA",0,"",0,"0","East Coast","EXISTING",23,25,2296,"0",1900-01-01,1900-01-01,0,0,"High","High","High->High","March","Undefined","Undefined","Undefined->Undefined","H","1",0,0.92,2,"","1","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"89","HD","8","FIXED_NA","FL","0","4","A",2011-03-08,2011-03-11,2010-11-08,"FIXED_NA",1444,3,1,0.5,2010-04-06,2010-09-09,1,1,2010-04-06,"B","Other","10","PUBLIC","1","Other.MDR.Low.Grade","12",2159,"O",0.5,"0","East Coast","EXISTING",6,7,1444,"2",2010-05-11,2010-10-27,301,132,"Middle","Undefined","Middle->Undefined","March","Elementary","High","Other.GroupGradeType","H","0",0.002779064,0.857142857,1,"L","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"90","HD","8","8","FL","1","4","A",2011-03-08,2011-03-11,2010-10-15,"FIXED_NA",1145,22,4,0.688,1900-01-01,2010-08-11,7,3,2010-07-01,"","Other","5","Private non-Christian","0","PK","12",1100,"F",0.25,"0","East Coast","EXISTING",32,35,1145,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","March","PK","High","PK->High","H","1",0.029090909,0.914285714,3,"L","1","0","0","1","1","0","0","0","0","0","1","1","1","1","0"
"91","SK","7","7","FL","0","4","B",2011-03-08,2011-03-11,2010-10-12,"FIXED_NA",999,18,7,0.783,1900-01-01,2010-09-01,7,3,2010-07-02,"","Other","7","Private non-Christian","0","PK","12",1100,"F",0.13,"0","Science","EXISTING",23,26,999,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","March","PK","High","PK->High","S","1",0.020909091,0.884615385,3,"L","1","0","0","1","1","0","0","0","0","0","1","1","1","1","0"
"92","HD","7","8","TX","0","6","A",2011-03-08,2011-03-13,2010-10-15,"SA",2096,0,0,0,2010-02-11,2010-02-11,2,4,2010-02-11,"","Houston","5","Catholic","0","PK","8",428,"D",0,"0","East Coast","EXISTING",52,56,2096,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","March","PK","Middle","PK->Middle","H","0",0.121495327,0.928571429,4,"S-M","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"93","SG","6","6","FL","0","3","B",2011-03-09,2011-03-11,2010-10-15,"FIXED_NA",725,31,0,0.861,1900-01-01,2010-09-01,0,3,2010-07-02,"","Other","7","Private non-Christian","0","PK","12",1100,"F",0.139,"0","Science","EXISTING",36,39,725,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","March","PK","High","PK->High","S","1",0.032727273,0.923076923,3,"L","1","0","0","1","1","0","0","0","0","0","1","1","1","1","0"
"94","HD","7","8","LA","1","4","A",2011-03-09,2011-03-12,2010-10-22,"FIXED_NA",1467,34,9,0.708,2010-02-01,2010-08-04,9,4,2010-02-02,"B","Other","10","PUBLIC","1","7","8",552,"J",0.208,"0","East Coast","EXISTING",48,52,1467,"1",2010-08-25,2010-08-25,196,196,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","0",0.086956522,0.923076923,4,"S-M","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"95","HD","8","8","AZ","0","4","A",2011-03-09,2011-03-12,2010-09-20,"FIXED_NA",1630,58,12,0.753,2010-03-23,2010-08-06,12,10,2010-03-20,"B","Other","5","PUBLIC","1","7","8",688,"P",0.143,"0","East Coast","EXISTING",77,87,1630,"2",2010-04-28,2010-09-01,315,189,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.111918605,0.885057471,10,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"96","HD","8","8","IA","0","6","B",2011-03-09,2011-03-14,2010-10-15,"FIXED_NA",1099,16,3,0.5,2010-03-24,2010-08-26,2,2,2010-03-24,"B","Other","10","PUBLIC","1","5","8",330,"J",0.219,"0","East Coast","EXISTING",32,34,1099,"1",2010-09-09,2010-09-09,181,181,"Middle","Middle","Middle->Middle","March","Elementary","Middle","Elementary->Middle","H","1",0.096969697,0.941176471,2,"S","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"97","HC","8","8","CO","0","6","A",2011-03-09,2011-03-14,2010-10-01,"FIXED_NA",1854,18,1,0.514,2010-01-28,2010-08-26,1,3,2010-01-26,"","Other","10","CHD","1","K","12",315,"M",0.486,"0","East Coast","EXISTING",35,38,1854,"2",2010-02-22,2010-09-09,380,181,"Middle","Middle","Middle->Middle","March","K","High","K->High","H","1",0.111111111,0.921052632,3,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"98","Other.Program.Code","7","8","SC","0","3","B",2011-03-10,2011-03-12,2010-10-15,"FIXED_NA",890,6,6,0.4,2010-02-25,2010-09-07,7,1,2010-02-25,"C","Other","10","PUBLIC","1","7","8",650,"I",0.2,"0","East Coast","EXISTING",15,16,890,"1",2010-09-13,2010-09-13,178,178,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","0",0.023076923,0.9375,1,"M-L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"99","HD","8","8","IL","0","3","A",2011-03-10,2011-03-13,2010-10-22,"FIXED_NA",1163,149,22,0.823,2010-04-26,2010-08-20,20,13,2010-04-24,"A","Other","5","PUBLIC","1","7","8",468,"Q",0.116,"0","East Coast","EXISTING",181,194,1163,"1",2010-09-30,2010-09-30,161,161,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.386752137,0.932989691,13,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"100","Other.Program.Code","FIXED_NA","FIXED_NA","TX","0","4","A",2011-03-10,2011-03-13,2010-10-29,"FIXED_NA",1750,42,7,0.857,2010-05-04,2010-08-19,7,4,2010-04-29,"","Houston","5","Private non-Christian","1","PK","12",957,"Z",0.163,"0","East Coast","EXISTING",49,53,1750,"1",2010-10-22,2010-10-22,139,139,"Undefined","Undefined","Undefined->Undefined","March","PK","High","PK->High","H","0",0.051201672,0.924528302,4,"L","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
